Name,Company,Title,Industry,Company Size,Email,Website,Page Views,Downloads,Webinar Attended,Intent Score,Converted
Christina Ramirez,"Andrews, Morris and Roberts",Data Analyst,Manufacturing,Small Business,powellmary@williams.biz,http://www.walsh-summers.com/,8,2,0,40,0
Tina Hansen,Curry and Sons,Product Manager,Manufacturing,Mid-Market,ulee@lee-gibbs.info,https://www.carson.com/,11,1,0,35,0
Mrs. Kim Oconnell,Yates-Hernandez,Marketing Manager,Energy,Enterprise,gatkins@hotmail.com,http://rogers.net/,14,1,0,43,0
Nancy Moore,"Tyler, Brown and Garrett",Product Manager,Energy,Small Business,brittanywilson@meyer.com,http://gill-george.info/,11,3,0,48,0
Dr. James Lam,Crawford-Bailey,Data Analyst,Technology,Small Business,amberdavis@davis.biz,https://www.mccarthy.biz/,12,2,0,41,0
Richard Curry,"Marshall, Hayes and Hoffman",CEO,Energy,Enterprise,heather15@phillips-bush.com,https://garner.org/,9,0,0,13,0
Nathan Lee,Stark Ltd,Marketing Manager,Finance,Mid-Market,joshuadavis@gmail.com,https://www.meyer.net/,11,1,0,32,0
Deborah Davis,"Garner, Gross and Bryant",Product Manager,Manufacturing,Enterprise,jennifercollins@gmail.com,http://www.stewart.org/,5,1,0,18,0
Tonya Mendoza,Gonzalez-Watson,CTO,Finance,Small Business,jessica68@figueroa.org,http://www.grant.org/,8,1,0,22,0
Sandra Conley,Powell-Boyd,Sales Director,Finance,Enterprise,caldwellwilliam@yahoo.com,https://howard.com/,7,3,0,46,0
Amy Sanchez,Cox and Sons,CEO,Energy,Small Business,fboyd@yahoo.com,http://castro.com/,15,2,0,49,0
Jeffrey Briggs,"Townsend, Fuller and Pennington",Data Analyst,Finance,Mid-Market,juliepreston@yahoo.com,https://jones-ferguson.info/,13,1,0,39,0
Katherine Collier,Duran Group,HR Manager,Energy,Enterprise,anthonymendez@hotmail.com,http://graves.com/,11,1,0,32,0
Larry Sweeney,Sparks Inc,HR Manager,Education,Enterprise,joshua82@daniels.com,https://www.snyder.info/,10,4,0,61,1
Joshua Barron,"Schultz, Keith and Walker",CTO,Energy,Mid-Market,jeffreyoliver@gmail.com,http://www.williams.org/,8,0,0,14,0
James Randolph,Snyder-George,Marketing Manager,Manufacturing,Enterprise,jenkinsscott@yahoo.com,https://kim.com/,9,2,0,41,0
Mr. Antonio Davidson,Owens-Rose,Data Analyst,Retail,Mid-Market,keithmorris@hotmail.com,http://hardin-washington.com/,11,1,0,36,0
Sarah Perez,Hunt Ltd,Sales Director,Finance,Small Business,asullivan@yahoo.com,https://www.clark-williams.net/,8,1,0,28,0
Terri Fitzpatrick,"Davis, Hooper and Brown",Product Manager,Healthcare,Mid-Market,bmartinez@hotmail.com,https://smith.com/,9,2,0,38,0
Robert Sandoval,"Stokes, Miller and Dalton",CEO,Finance,Mid-Market,christianholmes@davis.info,http://www.jenkins.org/,10,3,0,53,0
Michelle Martin,"Haney, Ward and Stark",Product Manager,Education,Small Business,ashepherd@clark-mccarty.com,https://riley-dean.org/,4,3,0,37,0
Miss Linda Martinez,Lee Inc,CEO,Retail,Enterprise,johngrant@sanchez.com,https://kane.net/,11,1,0,32,0
James Booth,Parker Inc,Marketing Manager,Healthcare,Enterprise,jennifergonzalez@gmail.com,http://butler.org/,7,3,0,40,0
Rebecca Carter,"Sullivan, Martin and Henderson",Product Manager,Retail,Small Business,craigwalker@smith.com,https://murphy.org/,4,2,0,25,0
Melissa Romero,Cooper-Smith,Data Analyst,Technology,Mid-Market,carterandrew@gmail.com,https://www.robinson.biz/,9,3,0,46,0
Paula Miller,Herring and Sons,Sales Director,Education,Enterprise,diana71@thornton-lynch.com,http://www.french.com/,5,3,0,38,0
Michelle Rocha,Hansen-Price,CEO,Healthcare,Small Business,martinezeric@figueroa.com,http://warren-davies.com/,10,2,0,36,0
Jody Hensley,Morales Ltd,Data Analyst,Manufacturing,Small Business,emcdowell@gmail.com,http://www.marshall.com/,9,3,0,44,0
Andrea Russell,"Humphrey, Gutierrez and Reyes",CTO,Manufacturing,Small Business,carrollmichael@gmail.com,https://gordon.com/,6,2,1,57,0
Joshua Stevens,"Kelly, Phillips and Ford",Data Analyst,Manufacturing,Small Business,jonesmitchell@yahoo.com,http://martin.com/,11,2,0,44,0
Karen Solis,Clark Inc,CEO,Education,Small Business,michellemalone@gmail.com,http://www.donaldson-barnett.com/,12,0,0,21,0
Carol Hayes,Johnson and Sons,Data Analyst,Education,Small Business,justinvasquez@yahoo.com,http://martinez.biz/,10,2,0,40,0
Marcus Nicholson,Hahn-Mcgrath,Marketing Manager,Technology,Small Business,mboyd@yahoo.com,https://www.pierce.com/,9,0,0,16,0
Karen Lopez,"Murphy, Hunt and Briggs",Marketing Manager,Technology,Mid-Market,ehunt@yahoo.com,http://harding.com/,14,1,0,38,0
Dean Murray,"Johnson, Lewis and Hall",CTO,Technology,Mid-Market,ashley90@hardin.com,http://www.wilson.com/,9,1,0,24,0
Jessica Berry,Rodriguez-French,CTO,Finance,Mid-Market,lindseydavis@hotmail.com,https://thomas.com/,12,5,0,79,1
Daniel Howell,Collier Group,Sales Director,Retail,Small Business,garyrivera@dudley.com,https://lopez-johnson.com/,7,1,0,25,0
Richard Cunningham DVM,"Martinez, Perez and Herrera",Data Analyst,Manufacturing,Small Business,jasminesanders@williams.com,https://www.jacobs.biz/,8,2,0,33,0
Adam Hale,Carter-Jones,CTO,Manufacturing,Small Business,marshalllance@knight-mendez.com,http://www.moss.info/,11,2,0,40,0
James Morales,Garrett Ltd,CEO,Manufacturing,Small Business,mark20@yahoo.com,https://www.estrada.biz/,9,1,0,31,0
John Smith,Kemp LLC,Product Manager,Education,Enterprise,oliverlisa@hotmail.com,http://www.patrick-rodriguez.biz/,15,7,0,95,0
Jason Adams,Zimmerman-Cooper,CTO,Energy,Enterprise,kmcclain@hotmail.com,https://www.sullivan-gardner.com/,21,3,0,70,1
Mrs. Lori Velasquez,Moreno LLC,Marketing Manager,Manufacturing,Small Business,mitchellsnow@hernandez.com,http://davis.net/,5,1,0,24,0
Stacy Jenkins,Bailey-Frazier,Marketing Manager,Manufacturing,Mid-Market,fitzpatrickjesus@yahoo.com,https://buchanan-goodman.com/,14,3,0,62,0
Jennifer Bruce,Rosales Ltd,CEO,Manufacturing,Mid-Market,jwhite@hotmail.com,https://erickson-cherry.org/,16,4,0,71,1
John Singleton,Garcia and Sons,Product Manager,Healthcare,Small Business,leehernandez@mueller.info,http://montgomery.com/,10,2,0,40,0
Ronald Washington,"Walter, Hale and Stevens",Product Manager,Manufacturing,Mid-Market,hunterpowell@yahoo.com,https://flynn-davis.org/,10,1,0,30,0
Paula Green,Patterson LLC,Marketing Manager,Healthcare,Small Business,vdalton@nguyen.net,https://www.martinez.com/,9,1,0,27,0
Veronica Crane,Barajas-Carter,Product Manager,Energy,Small Business,brittanymason@yahoo.com,http://www.gonzalez-taylor.com/,8,3,0,51,0
Kimberly Nguyen,Munoz-Taylor,Data Analyst,Technology,Enterprise,mphillips@hotmail.com,http://www.pierce-cole.biz/,15,2,0,46,0
Tammy Cooke,Morton Group,CEO,Healthcare,Small Business,jerome15@nelson-wade.com,http://www.mitchell-fox.com/,12,2,1,64,1
Adrienne Bonilla,"Garrett, Rodriguez and Hopkins",Data Analyst,Retail,Mid-Market,johnsonkristin@hotmail.com,http://gentry.com/,7,2,0,37,0
Shannon Hodges,"Jacobson, Griffith and Robles",CTO,Finance,Small Business,brownrenee@gmail.com,http://www.walters-mcneil.com/,7,3,0,49,0
Christopher Evans,"Sanchez, Hayes and Davis",Data Analyst,Education,Small Business,michaelcampbell@mcguire-jenkins.com,https://edwards.com/,7,3,0,39,0
Adrian Johnson,"Escobar, Nguyen and Lopez",Product Manager,Manufacturing,Mid-Market,patrickmiranda@gmail.com,https://copeland.com/,11,1,0,29,0
Samantha Johnson,"Green, Fisher and Daniel",CEO,Healthcare,Small Business,jessica76@horn.com,http://smith-jimenez.org/,17,2,0,55,0
Erica Patel,Perez-Johnson,Data Analyst,Retail,Mid-Market,rebecca13@hotmail.com,https://bryant-dorsey.com/,13,1,0,31,0
Kathleen Long,Scott and Sons,CTO,Technology,Mid-Market,charles63@gmail.com,https://bush.com/,11,1,0,30,0
Daniel Young,"Johnson, Reynolds and Rich",CEO,Technology,Enterprise,kristin52@wagner.info,http://www.ramos-marks.com/,11,1,0,36,0
Michael Martinez,Avila and Sons,Data Analyst,Finance,Enterprise,wcruz@hotmail.com,http://kirby.com/,9,2,0,36,0
Kelly Johnson,Barker-Murray,Sales Director,Education,Enterprise,sramos@weiss-rose.com,http://www.miller.com/,8,2,0,38,0
Dominic Garcia,"Hopkins, Smith and Diaz",Sales Director,Technology,Enterprise,wwhite@fox.com,https://woods.biz/,12,0,0,19,0
Allen Garza,"Williams, Kaiser and Andrade",HR Manager,Healthcare,Enterprise,juansmith@yahoo.com,https://www.crawford.net/,13,2,0,42,0
Mrs. Brittany Mills,Johnson LLC,Sales Director,Healthcare,Enterprise,archerstuart@fleming-freeman.com,http://www.bishop.biz/,8,3,1,72,1
Michael Taylor,Garcia LLC,Product Manager,Manufacturing,Mid-Market,jamesjordan@henry.com,https://austin-bell.net/,14,1,0,39,0
Raymond Calderon,"Haynes, Duncan and Nunez",Marketing Manager,Energy,Small Business,rebeccabarnett@yahoo.com,http://www.howell.info/,12,2,1,68,1
Ethan Hicks,Mccullough-Mendoza,Data Analyst,Energy,Enterprise,christopher84@morgan.org,https://hess.com/,8,1,1,46,0
Steven Smith,Mitchell-Booth,Data Analyst,Healthcare,Enterprise,reginasellers@davies.com,http://www.lewis-adams.info/,12,1,0,32,0
Paul Garcia,Rice Group,Sales Director,Retail,Enterprise,danielcody@hansen-smith.org,https://perry.com/,6,5,0,65,1
Vanessa Clements,Obrien-Alexander,Sales Director,Energy,Small Business,tturner@dickson.com,http://www.maynard-brown.biz/,17,1,0,41,0
Stephanie Ochoa,"Gross, Cain and Aguirre",Product Manager,Retail,Enterprise,maryscott@holmes.com,https://www.thornton-pierce.com/,10,4,0,58,0
Joseph Buckley,Hayes Group,CEO,Finance,Enterprise,gmyers@gmail.com,https://rodriguez-wright.com/,9,3,0,49,0
Angela Graham,Davis-Warner,Sales Director,Education,Enterprise,ocampbell@gmail.com,http://hall-russo.com/,12,4,0,65,1
Stephen Hughes,Taylor-Adams,Sales Director,Technology,Small Business,aanderson@stewart.info,http://www.horton-wallace.biz/,14,3,0,62,1
Stephanie Gibson,Oneill Inc,Product Manager,Manufacturing,Enterprise,ywoodard@griffin.net,https://www.davis.com/,11,5,1,99,1
Angela Jimenez,Wall-Vega,Data Analyst,Energy,Mid-Market,gutierrezbernard@nunez.org,http://allison.com/,11,1,0,37,0
John Johns,Cervantes-Smith,CEO,Healthcare,Small Business,reyesann@perez.info,http://mccann.com/,8,2,0,34,0
Tiffany Thomas,"Harris, Horn and Miller",CTO,Retail,Enterprise,nguyendavid@vaughn-reeves.com,https://www.alexander-hill.net/,5,5,1,82,1
Christopher Simpson,Gibson-Holden,Sales Director,Healthcare,Mid-Market,smithmiguel@hotmail.com,https://www.watkins-newman.org/,15,2,0,47,0
Erica Powell,"Vargas, Guerrero and Mitchell",Marketing Manager,Healthcare,Small Business,wheelerwayne@henry.biz,https://www.pollard-zimmerman.com/,7,1,0,25,0
Robert Davis,Fisher-Mullins,HR Manager,Manufacturing,Mid-Market,silvakristi@velasquez-moore.com,http://irwin.info/,11,1,0,34,0
Craig Lewis,Soto-Salazar,CEO,Energy,Enterprise,cynthiamarquez@gmail.com,http://wyatt-robles.com/,10,1,0,27,0
David Serrano,Walton-Mccoy,Sales Director,Energy,Small Business,franceshammond@anderson.biz,https://archer.com/,6,1,0,21,0
John Meyer,Miranda-Goodwin,HR Manager,Manufacturing,Mid-Market,choibrandon@wilson-waters.com,http://www.patterson.net/,13,3,0,59,0
Timothy Murphy,Arnold-Nguyen,CEO,Technology,Enterprise,vdavis@hotmail.com,https://www.walls.net/,9,3,1,71,1
Laura Pena,Quinn PLC,CTO,Energy,Small Business,christinefaulkner@gmail.com,https://weaver.biz/,11,3,0,49,0
Shannon Miller,Wolf-Taylor,Sales Director,Finance,Enterprise,castillomarcus@yahoo.com,https://case-smith.com/,9,2,1,64,1
Kimberly Wilson,"Cox, Howard and Stanley",CEO,Technology,Enterprise,guzmansteven@lee-robinson.com,https://www.garcia.com/,11,3,0,53,0
Jennifer Christensen,"Wong, Hale and Dominguez",Marketing Manager,Finance,Mid-Market,nperkins@blackwell.com,https://www.werner.com/,13,5,0,71,1
Victor Thomas,Johnson Inc,Data Analyst,Healthcare,Mid-Market,michelle29@gmail.com,http://www.cantu.com/,5,2,1,59,0
Travis Maddox,Aguirre-Lee,CEO,Energy,Mid-Market,charlesbrown@yahoo.com,https://burke.org/,13,2,0,46,0
David Charles,Woodward LLC,Sales Director,Manufacturing,Enterprise,renee25@gmail.com,https://www.little-harrington.com/,8,2,0,31,0
Heather Jones,"Wright, Murray and Smith",Marketing Manager,Finance,Mid-Market,sullivanrichard@hall.com,https://sanchez-smith.org/,13,2,0,43,0
David Brandt,Hayes-Henderson,Product Manager,Finance,Mid-Market,steveellis@yahoo.com,http://www.jones.biz/,5,4,0,45,0
Julie Cook,Frederick Ltd,Product Manager,Retail,Enterprise,jkim@hotmail.com,https://stewart-roberts.com/,11,4,0,65,1
Travis Henderson,Ford Ltd,CTO,Healthcare,Small Business,bryan92@gmail.com,https://gray.org/,8,2,0,31,0
Kristina Arnold,"Holloway, Brown and Johnston",CEO,Education,Mid-Market,bryan97@hotmail.com,http://www.adams.com/,6,1,0,20,0
Andrew Graves,"Figueroa, Daniels and Rice",Marketing Manager,Finance,Enterprise,joellee@hotmail.com,http://thompson.info/,10,1,1,53,0
Gary Smith,"Wyatt, Anderson and Young",CEO,Retail,Small Business,melissawarner@yahoo.com,https://garcia.com/,12,1,0,30,0
Jesse Potter,Patterson PLC,Data Analyst,Manufacturing,Enterprise,derek75@richard-jackson.com,https://www.mitchell.com/,17,3,0,62,1
Alexander Lee,Schneider and Sons,Data Analyst,Manufacturing,Small Business,veronicafuller@lambert-lopez.com,http://gray.info/,10,1,0,35,0
Amanda Sanchez,"Chapman, Green and Mosley",HR Manager,Technology,Enterprise,djames@parker-lee.com,http://www.james.com/,10,2,1,69,1
Deborah Hunter,Martinez Group,Sales Director,Healthcare,Small Business,patriciaramsey@rhodes.biz,http://fox.com/,7,1,0,22,0
Leslie Day,Carr LLC,Data Analyst,Education,Mid-Market,rthomas@duran.info,https://www.huff-robinson.com/,15,3,0,64,1
Jeffrey Henry,Rogers-Ross,CEO,Education,Small Business,philip36@strong-byrd.com,https://www.jones.net/,7,1,0,28,0
Steven Brown,"Williams, Garcia and Davis",Sales Director,Education,Enterprise,chadcarr@yahoo.com,http://www.jackson.info/,7,2,0,35,0
Lacey Bauer,"Lowe, Lin and Holder",Sales Director,Manufacturing,Small Business,turnerjames@carpenter-garza.com,https://www.cabrera.com/,6,0,0,16,0
Cheryl Carter,"Parsons, Campos and Anderson",Marketing Manager,Retail,Small Business,alexander87@evans.com,https://good.biz/,5,2,0,33,0
Richard Palmer,Smith Inc,Product Manager,Retail,Small Business,sabrinajones@sanders-chang.com,https://smith.net/,5,4,0,48,0
Traci Marshall,Singh-Jordan,Data Analyst,Finance,Small Business,codyrobertson@king-rogers.org,http://www.orozco.info/,15,0,1,53,0
Lori Lambert,Schmidt Group,HR Manager,Energy,Mid-Market,amyjohnson@hotmail.com,https://www.russell.info/,10,3,0,54,0
Seth Rocha,"Cameron, Long and Johnson",HR Manager,Retail,Enterprise,melanie50@sanchez-page.com,https://williams-parks.com/,10,0,0,17,0
Nicole Craig,Fry-Butler,CEO,Manufacturing,Mid-Market,sean22@gmail.com,https://villanueva-ford.info/,11,0,1,43,0
Anna Barton,Carney Ltd,Product Manager,Healthcare,Small Business,griffingarrett@atkinson.com,https://www.clark.com/,8,3,0,51,0
Ashley Wilcox,Garrett and Sons,CTO,Technology,Mid-Market,qhensley@clark-white.org,http://green-obrien.info/,10,3,0,50,0
Dawn Booth,Rice Group,Marketing Manager,Retail,Small Business,mckinneychelsea@gmail.com,https://www.hansen-rice.com/,11,1,0,28,0
Todd Nguyen,Davis LLC,Data Analyst,Education,Small Business,pattersonmichael@gmail.com,http://www.stephens-crosby.info/,14,2,0,48,0
Philip Harris,"Phelps, Robinson and Graves",CTO,Finance,Small Business,roberthall@gmail.com,http://brown-bush.com/,15,1,0,38,0
Christina Hampton,"Henry, Gibson and Ward",Product Manager,Healthcare,Enterprise,douglaskristi@ramos-wilson.com,https://duncan.com/,14,6,0,92,1
Larry Powell,Whitaker LLC,Data Analyst,Healthcare,Small Business,michellehunter@hotmail.com,https://www.baker-warren.com/,6,1,0,22,0
Erin Clark,"Smith, Johnson and Davis",Sales Director,Energy,Mid-Market,ballardnicole@yahoo.com,http://martinez-trevino.com/,12,1,0,33,0
David Cummings,Wang and Sons,HR Manager,Education,Small Business,macdonaldangela@gmail.com,http://mercado.biz/,10,2,0,42,0
George Charles,Clark Ltd,Marketing Manager,Energy,Small Business,fkidd@adams.biz,http://gray-jones.com/,9,2,0,36,0
Lori Cook,York-Hughes,CTO,Energy,Enterprise,michael70@dixon-jones.com,https://bailey.com/,10,4,0,61,0
George Clark,Small Inc,CEO,Healthcare,Enterprise,singhbrooke@gmail.com,https://williams-contreras.com/,7,0,0,11,0
Cheryl Watson,"Gonzalez, Chen and Anderson",Data Analyst,Education,Mid-Market,susanmahoney@martin.com,https://mercado.com/,10,3,0,55,0
Rebecca Acosta,Heath Ltd,CEO,Finance,Enterprise,adamadams@santos.net,https://www.jones.info/,11,1,0,29,0
Eric Diaz,Dyer Group,HR Manager,Technology,Enterprise,corygaines@gmail.com,http://www.garcia.com/,12,2,1,74,1
Erin Richards,"Evans, Pennington and Bell",Product Manager,Retail,Enterprise,harrellronnie@hotmail.com,https://wolf.com/,11,1,0,35,0
Jason Wilson,Davis-Velazquez,Product Manager,Healthcare,Mid-Market,ytaylor@hamilton.com,https://www.wilkinson.biz/,13,3,0,52,0
Matthew Jones,Trujillo PLC,CEO,Technology,Small Business,anna88@washington-guerrero.com,http://russell.com/,10,3,0,48,0
William Williams,Clay Group,HR Manager,Retail,Small Business,patrickfinley@gibbs-ortiz.com,https://www.mack-garrett.info/,5,1,1,43,0
Charles Pena,Williams-Singh,Sales Director,Manufacturing,Small Business,chasebradford@gmail.com,http://www.davis-meyers.com/,9,1,0,28,0
Dr. Susan Browning,Weeks-Rogers,Marketing Manager,Manufacturing,Small Business,loridavis@chambers.com,http://www.rodriguez-conner.com/,7,2,0,36,0
Charles Rogers,"Moore, York and Fletcher",Product Manager,Retail,Small Business,renee88@yahoo.com,https://sandoval.com/,5,4,1,73,1
Colton Morgan,Strong Inc,HR Manager,Energy,Small Business,gonzalezann@gmail.com,http://walker-reynolds.com/,9,2,0,40,0
Amy Fowler,Wright LLC,CEO,Manufacturing,Small Business,chambersheidi@bowman-perez.info,http://shepard.com/,11,1,0,31,0
Michelle Garcia,Garcia PLC,Data Analyst,Energy,Enterprise,ttaylor@lopez.biz,http://www.miller.com/,8,1,0,30,0
Katelyn Hutchinson,"Green, Oconnell and Ingram",Sales Director,Energy,Small Business,gary57@rodriguez.biz,http://www.mitchell.com/,8,2,0,35,0
Christine Dalton,Li-Wallace,CEO,Energy,Small Business,dennisbrady@hotmail.com,http://www.berry-williams.com/,10,3,0,51,0
Amanda Cummings,Hartman and Sons,CTO,Energy,Small Business,brianna07@yahoo.com,https://www.huff.com/,13,4,0,70,1
Jeremiah Winters,Hart and Sons,Sales Director,Energy,Small Business,hfisher@yahoo.com,http://morgan-holder.biz/,7,2,0,35,0
Brenda Cox,Ward-Alvarez,CTO,Manufacturing,Small Business,patricia05@marshall.org,https://www.ferguson-clark.com/,9,3,0,43,0
Charles Robles,Phillips LLC,Product Manager,Healthcare,Small Business,kmoss@roberts.com,http://www.webb-moran.biz/,7,1,0,29,0
Wayne Riley,Mullen-Allen,Data Analyst,Energy,Small Business,bprice@mendoza.com,http://wilson.com/,8,0,0,19,0
Angela Lowery,"Johnson, Cruz and Larsen",Marketing Manager,Energy,Mid-Market,alowery@baird-miranda.com,http://jacobs-ross.biz/,12,5,0,70,1
Kristina Schneider,Johnson-Newman,CEO,Retail,Enterprise,james54@gmail.com,https://pope.com/,11,3,0,57,0
Catherine Baldwin,Stout-Holloway,Marketing Manager,Technology,Enterprise,alec23@yahoo.com,https://phillips-sims.org/,6,0,0,11,0
Sheri Vega,Rodriguez-Green,Data Analyst,Manufacturing,Enterprise,amypalmer@hotmail.com,http://www.turner.net/,7,3,1,71,1
Spencer Weber,Moody-Willis,Sales Director,Education,Enterprise,fisherangela@gmail.com,https://www.peterson.com/,8,0,0,11,0
Matthew York,"Brown, Lewis and Glass",Sales Director,Retail,Small Business,opennington@yahoo.com,http://www.simon.com/,12,2,1,65,1
John Brown,"Rodriguez, Gregory and Gould",CTO,Technology,Mid-Market,lori47@gmail.com,https://patel.com/,11,4,0,62,1
Daniel Velez,"Osborne, Summers and Jones",Product Manager,Retail,Mid-Market,jchambers@hotmail.com,https://www.rodriguez.com/,7,0,0,11,0
Matthew Fisher,Spence-Davis,CTO,Finance,Small Business,brandysmith@williams-heath.biz,http://hernandez.com/,8,1,1,52,0
William Morris,Graham-Williams,Data Analyst,Healthcare,Enterprise,oliverwilliam@cline.com,https://www.smith.info/,9,0,0,22,0
Kimberly Davis DVM,"Robinson, Dunn and Bishop",Product Manager,Education,Small Business,tiffanyramirez@yahoo.com,https://www.young.com/,8,1,1,56,0
Jamie Peters,"Little, Thompson and Gray",CEO,Retail,Mid-Market,martin54@wilson.biz,https://hayden.info/,7,5,0,65,1
Marilyn Curtis,Ortiz LLC,HR Manager,Energy,Enterprise,colin87@hotmail.com,http://www.palmer-snyder.biz/,11,1,0,29,0
Julie Stephens,"Bradley, Lawrence and Harris",CEO,Education,Mid-Market,jordanryan@hotmail.com,http://www.byrd.info/,10,1,0,28,0
Jenna Dean,Fritz LLC,Data Analyst,Healthcare,Small Business,dawn26@yahoo.com,https://roberts-wilson.com/,8,1,0,25,0
David Wolf,"Nguyen, Long and Evans",CTO,Manufacturing,Enterprise,michaelharris@hotmail.com,https://day-jackson.biz/,6,7,0,77,1
April Farley,"Francis, Sims and Hill",Data Analyst,Education,Small Business,andersonthomas@harrison.com,http://www.greer.info/,8,2,0,40,0
Shawn Poole,Gibson LLC,Data Analyst,Retail,Enterprise,samuelfitzgerald@trevino.com,https://www.pope.info/,19,1,0,43,0
Mary Nelson,Meyer-Rosario,Data Analyst,Education,Enterprise,robertspaige@hotmail.com,http://benson-foley.info/,9,4,0,57,0
Stephanie Hubbard,"Reyes, Morrow and Ramos",Sales Director,Manufacturing,Small Business,jennifer33@garcia.com,http://www.adams.com/,7,3,0,41,0
Frances Calderon,Mitchell Ltd,Product Manager,Healthcare,Small Business,rgraham@gmail.com,https://www.tanner.com/,7,4,0,53,0
Maria Nelson,Peterson Ltd,CTO,Manufacturing,Enterprise,allenluis@hotmail.com,http://brandt.com/,10,0,0,18,0
Vanessa Harper,Watkins Ltd,CEO,Finance,Small Business,hlarson@thompson.org,https://www.murphy-jones.com/,11,4,0,60,0
Jonathan Townsend,"Brown, Lee and Hayes",HR Manager,Retail,Small Business,obartlett@gmail.com,https://howard.com/,5,1,0,23,0
Sara Combs,Davis-Prince,CEO,Healthcare,Enterprise,keithedwards@drake.com,https://www.jordan.com/,7,2,0,30,0
Seth Carr,Newman LLC,Data Analyst,Manufacturing,Mid-Market,john25@yahoo.com,http://cortez.com/,9,1,1,49,0
